
time 00h 09m 41s, episodes 454, frames 114000, mean epr 1.29, run loss 0.21
time 00h 09m 45s, episodes 458, frames 115000, mean epr 1.27, run loss -0.40
time 00h 09m 51s, episodes 462, frames 116000, mean epr 1.28, run loss -0.12
time 00h 09m 56s, episodes 468, frames 117000, mean epr 1.32, run loss 0.56
time 00h 10m 01s, episodes 474, frames 118000, mean epr 1.32, run loss 0.89
time 00h 10m 06s, episodes 478, frames 119000, mean epr 1.33, run loss 1.12
time 00h 10m 12s, episodes 480, frames 120000, mean epr 1.32, run loss 1.00
time 00h 10m 17s, episodes 484, frames 121000, mean epr 1.31, run loss 0.88
time 00h 10m 21s, episodes 489, frames 122000, mean epr 1.32, run loss 0.96
time 00h 10m 26s, episodes 490, frames 123000, mean epr 1.32, run loss 1.04
time 00h 10m 31s, episodes 495, frames 124000, mean epr 1.30, run loss 0.76
time 00h 10m 37s, episodes 498, frames 125000, mean epr 1.33, run loss 1.13
time 00h 10m 42s, episodes 502, frames 126000, mean epr 1.36, run loss 1.44
time 00h 10m 47s, episodes 508, frames 127000, mean epr 1.42, run loss 2.00
time 00h 10m 52s, episodes 509, frames 128000, mean epr 1.41, run loss 1.92
time 00h 10m 56s, episodes 514, frames 129000, mean epr 1.40, run loss 1.43
time 00h 11m 01s, episodes 518, frames 130000, mean epr 1.41, run loss 1.19
time 00h 11m 07s, episodes 521, frames 131000, mean epr 1.42, run loss 1.36
time 00h 11m 11s, episodes 528, frames 132000, mean epr 1.41, run loss 0.98
time 00h 11m 18s, episodes 532, frames 133000, mean epr 1.38, run loss 0.49
time 00h 11m 22s, episodes 535, frames 134000, mean epr 1.42, run loss 0.55
time 00h 11m 28s, episodes 536, frames 135000, mean epr 1.42, run loss 0.67
time 00h 11m 32s, episodes 545, frames 136000, mean epr 1.42, run loss 0.75
time 00h 11m 37s, episodes 550, frames 137000, mean epr 1.43, run loss 0.89
time 00h 11m 42s, episodes 553, frames 138000, mean epr 1.40, run loss 0.68
time 00h 11m 48s, episodes 557, frames 139000, mean epr 1.38, run loss 0.59
time 00h 11m 53s, episodes 559, frames 140000, mean epr 1.36, run loss 0.37
time 00h 11m 57s, episodes 564, frames 141000, mean epr 1.38, run loss 0.78
time 00h 12m 02s, episodes 570, frames 142000, mean epr 1.37, run loss 0.70
time 00h 12m 08s, episodes 574, frames 143000, mean epr 1.36, run loss 0.88
