time, episodes, frames, mean-epr, run-loss
00h-34m-19s, 6286, 1700000, 2.97, -0.49
00h-34m-31s, 6314, 1710000, 2.86, -1.67
00h-34m-42s, 6350, 1720000, 2.93, -1.34
00h-34m-54s, 6382, 1730000, 2.93, -0.76
00h-35m-07s, 6411, 1740000, 2.90, -1.64
00h-35m-19s, 6444, 1750000, 2.86, -1.56
00h-35m-31s, 6473, 1760000, 2.99, -1.70
00h-35m-42s, 6505, 1770000, 3.11, -0.98
00h-36m-06s, 6564, 1790000, 3.14, -2.34
00h-36m-18s, 6594, 1800000, 3.10, -2.07
00h-36m-30s, 6631, 1810000, 3.09, -2.06
00h-36m-42s, 6659, 1820000, 3.03, -2.15
00h-36m-54s, 6687, 1830000, 2.99, -1.85
00h-37m-06s, 6720, 1840000, 3.02, -1.92
00h-37m-18s, 6750, 1850000, 3.15, -1.91
00h-37m-30s, 6785, 1860000, 3.08, -1.77
00h-37m-42s, 6820, 1870000, 2.91, -1.84
00h-37m-54s, 6848, 1880000, 2.92, -1.62
00h-38m-06s, 6877, 1890000, 2.93, -1.53
00h-38m-17s, 6910, 1900000, 2.97, -2.34
00h-38m-29s, 6935, 1910000, 3.13, -1.64
00h-38m-41s, 6966, 1920000, 3.16, -1.67
00h-38m-53s, 6996, 1930000, 3.08, -2.58
00h-39m-06s, 7028, 1940000, 3.12, -2.28
00h-39m-18s, 7056, 1950000, 3.19, -1.90
00h-39m-30s, 7086, 1960000, 3.21, -2.08
00h-39m-42s, 7116, 1970000, 3.39, -1.41
00h-39m-53s, 7145, 1980000, 3.31, -2.72
00h-40m-05s, 7175, 1990000, 3.50, -1.80
00h-40m-17s, 7201, 2000000, 3.46, -2.27
00h-40m-29s, 7230, 2010000, 3.63, -1.53
00h-40m-41s, 7256, 2020000, 3.88, -1.29
00h-40m-53s, 7287, 2030000, 3.81, -2.21
00h-41m-05s, 7313, 2040000, 3.76, -2.59
00h-41m-17s, 7341, 2050000, 3.78, -2.58
00h-41m-29s, 7367, 2060000, 3.94, -2.56
00h-41m-41s, 7392, 2070000, 4.01, -2.80
00h-41m-53s, 7418, 2080000, 4.02, -2.47
00h-42m-04s, 7447, 2090000, 3.96, -2.62
00h-42m-17s, 7474, 2100000, 3.96, -2.49
00h-42m-28s, 7508, 2110000, 3.77, -2.06
00h-42m-40s, 7535, 2120000, 3.70, -2.62
00h-42m-52s, 7562, 2130000, 3.81, -2.12
00h-43m-04s, 7591, 2140000, 3.84, -2.25
00h-43m-16s, 7622, 2150000, 3.73, -2.39
00h-43m-28s, 7649, 2160000, 3.75, -1.85
00h-43m-40s, 7670, 2170000, 3.81, -2.49
00h-43m-51s, 7698, 2180000, 4.08, -1.96
00h-44m-04s, 7724, 2190000, 4.24, -2.17
00h-44m-16s, 7752, 2200000, 4.14, -2.36
00h-44m-28s, 7777, 2210000, 4.08, -2.48
00h-44m-40s, 7801, 2220000, 4.01, -2.25
00h-44m-51s, 7828, 2230000, 4.06, -2.04
00h-45m-03s, 7856, 2240000, 4.20, -1.88
00h-45m-15s, 7880, 2250000, 4.23, -2.42
00h-45m-27s, 7909, 2260000, 4.11, -3.51
00h-45m-39s, 7932, 2270000, 4.26, -3.03
00h-45m-51s, 7958, 2280000, 4.25, -2.86
00h-46m-03s, 7985, 2290000, 4.30, -2.54
00h-46m-15s, 8011, 2300000, 4.34, -3.01
00h-46m-27s, 8038, 2310000, 4.37, -2.22
